Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Timm van der Gugten,90922,80010,0,0,0,0,0,0,0,0,0,50004,0,0,0,0,0
Tinashe Panyangara,90923,80021,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Tinu Yohannan,90924,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirumalasetti Suman,90602,80006,0,50002,50002,50005,50005,50014,0,0,50006,0,0,0,0,0,0
Tom Banton,90586,80004,0,0,0,0,0,0,0,0,0,0,0,0,50004,0,0
Tom Cooper,90925,80010,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Tom Curran,90600,80004,0,0,0,0,0,0,0,0,0,0,50004,0,50001,50008,0
TP Sudhindra,90606,80006,0,0,0,0,50002,0,0,0,0,0,0,0,0,0,0
Travis Birt,90607,80002,0,0,0,50008,50008,0,0,0,0,0,0,0,0,0,0
Travis Head,90604,80002,0,0,0,0,0,0,0,50008,50010,50010,0,0,0,0,0
Trent Boult,90594,80011,0,0,0,0,0,0,0,50006,50006,50004,50008,50008,50005,50005,50001
Tushar Deshpande,90609,80006,0,0,0,0,0,0,0,0,0,0,0,0,50008,50005,50003
Tymal Mills,90608,80004,0,0,0,0,0,0,0,0,0,50010,0,0,0,0,50005
Tyron Henderson,90587,80016,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Uday Kaul,90610,80006,50009,50009,0,0,0,0,0,0,0,0,0,0,0,50005,0
Udit Birla,90611,80006,0,0,0,0,0,50014,0,0,0,0,0,0,0,0,0
Udit Patel,90926,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Umang Sharma,90927,80006,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Umar Gul,90613,80013,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Nazir Mir,90928,80006,0,0,0,0,0,0,0,0,0,0,50009,0,0,0,0
Umesh Yadav,90616,80006,0,50008,50008,50008,50008,50008,50004,50004,50004,50004,50010,50010,50010,50008,50004
Umran Malik,90614,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50006,50006
Unmukt Chand,90612,80006,0,0,0,50008,50008,50008,50001,50005,50005,0,0,0,0,0,0
Usman Ghani,90929,80001,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,50008
Usman Khawaja,90615,80002,0,0,0,0,0,0,0,0,50015,50015,0,0,0,0,0
Utkarsh Singh,90930,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50009,50011
V. R. V. Singh,90627,80006,50009,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
V.V.S. Laxman,90630,80006,50002,50002,50002,50013,0,0,0,0,0,0,0,0,0,0,0
Vaibhav Arora,90621,80006,0,0,0,0,0,0,0,0,0,0,0,0,50010,50004,50009
Vaibhav Rawal,90931,80006,0,0,0,0,0,0,0,50004,0,0,0,0,0,0,0
Varun Aaron,90625,80006,0,0,50004,50008,50008,50008,50010,50010,50010,50009,0,50001,50001,0,50007
Varun Chakravarthy,90133,80006,0,0,0,0,0,0,0,0,0,0,0,50009,50004,50004,50004
Veer Pratap Singh,90618,80006,0,0,0,0,50002,50006,50004,50004,0,0,0,0,0,50008,0
Venkatesh Iyer,90626,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50004,50004
Vicky Ostwal,90932,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50008
Vidyut Sivaramakrishnan,90518,80006,50003,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0
Vijay Shankar,90620,80006,0,0,0,0,0,50003,50003,0,50006,50006,50008,50006,50006,50006,50007
Vijay Zol,90622,80006,0,0,0,0,50010,50010,50010,50010,0,0,0,0,0,0,0
Vikas Mishra,90933,80006,0,0,0,50008,50008,50009,0,0,0,0,0,0,0,0,0
Vikas Tokas,90934,80006,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Vikramjeet Malik,90628,80006,0,50009,50009,50009,50009,50001,50001,50001,50010,50012,0,0,0,0,0
Vikrant Yeligati,90629,80006,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinay Kumar,90457,80006,50010,50010,50010,50013,50010,50010,50004,50005,50005,50005,50004,50008,50008,0,0
Viraj Kadbe,90935,80006,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0,0
Virat Kohli,90617,80006,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010
Virat Singh,90623,80006,0,0,0,0,0,0,0,0,0,0,0,0,50006,50006,0
Virender Sehwag,90619,80006,50008,50008,50008,50008,50008,50008,50009,50009,0,0,0,0,0,0,0
Vishnu Vinod,90624,80006,0,0,0,0,0,0,0,0,0,50010,0,0,0,50008,50006
Vivek Yadav,90936,80006,0,0,0,50008,0,0,0,0,0,0,0,0,0,0,0
Vusi Sibanda,90937,80021,0,0,0,0,0,0,0,0,50010,50008,0,0,0,0,0
Wanindu Hasaranga,90438,80017,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010
Washington Sundar,90634,80006,0,0,0,0,0,0,0,0,0,50015,50010,50010,50010,50010,50006
Wasim Jaffer,90632,80006,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Parnell,90635,80016,0,50008,50008,50014,50014,50014,50008,0,0,0,0,0,0,0,0
Wesley Barresi,90938,80010,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Wilkin Mota,90633,80006,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0,0
William Porterfield,90939,80007,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Wriddhiman Saha,90636,80006,50004,50004,50004,50003,50003,50003,50009,50009,50009,50009,50006,50006,50006,50006,50007
Writtick Chatterjee,90940,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Yalaka Venugopal Rao,90941,80006,50002,50002,50002,50008,50008,50008,50006,50004,50004,50004,50009,0,0,0,0
Yash Dayal,90644,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007
Yash Dhull,90942,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50008
Yash Thakur,90943,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50010
Yashasvi Jaiswal,90646,80006,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50001
Yashpal Singh,90645,80006,50004,50004,0,50013,0,0,0,0,0,0,0,0,0,0,0
Yo Mahesh,90631,80006,50008,50008,50008,50003,50003,50006,50006,0,0,0,0,0,0,0,0
Yogesh Golwalkar,90944,80006,0,0,0,0,0,0,0,50009,0,0,0,0,0,0,0
Yogesh Nagar,90640,80006,50008,50008,50008,50008,50008,50008,0,0,0,0,0,0,0,0,0
Yogesh Takawale,90651,80006,50005,50005,0,0,50005,0,50010,50010,0,0,0,0,0,0,0
Younis Khan,90648,80013,50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yudhvir Charak,90945,80006,0,0,0,0,0,0,0,0,0,0,0,0,50010,50005,0
Yusuf Abdulla,90643,80016,0,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
Yusuf Pathan,90647,80006,50001,50001,50001,50004,50004,50004,50004,50004,50004,50004,50006,50006,50008,0,0
Yuvraj Singh,90650,80006,50009,50009,50009,50014,50014,50014,50010,50008,50006,50006,50009,50005,0,0,0
Yuzvendra Chahal,90649,80006,0,0,0,50005,50005,50005,50010,50010,50010,50010,50010,50010,50010,50010,50001
Zafir Patel,90946,80006,0,0,0,0,50008,0,0,0,0,0,0,0,0,0,0
Zaheer Khan,90652,80006,50010,50005,50005,50010,50010,50010,50005,50008,50008,50008,0,0,0,0,0
Zahir Khan,90947,80001,0,0,0,0,0,0,0,0,0,0,50001,0,0,0,0
Zeeshan Maqsood,90948,80012,0,0,0,0,0,0,0,0,50010,50009,0,0,0,0,0
