Match_ID,Match_City,Match_City_ID,Match_Date,Season,Season_ID,MatchNumber,Team1,Team1_ID,Team2,Team2_ID,Stadium_Name,Stadium_ID,TossWinner,Toss_Winner_ID,TossDecision,SuperOver,WinningTeam,Winner_Team_ID,WonBy,Margin,DL_used,MOM,MOM_ID,Umpire1,Ump1_ID,Umpire2,Ump2_ID
1175359,Jaipur,10017,3/25/2019,2019,30012,4,Punjab Kings,50009,Rajasthan Royals,50001,Sawai Mansingh Stadium,20026,Rajasthan Royals,50001,field,N,Punjab Kings,50009,Runs,14,No,CH Gayle,90118,C Shamshuddin,60022,KN Ananthapadmanabhan,60006
1175358,Mumbai,10023,3/24/2019,2019,30012,3,Delhi Capitals,50008,Mumbai Indians,50005,Wankhede Stadium,20034,Mumbai Indians,50005,field,N,Delhi Capitals,50008,Runs,37,No,RR Pant,90483,S Ravi,60019,YC Barde,60024
1175357,Kolkata,10022,3/24/2019,2019,30012,2,Sunrisers Hyderabad,50006,Kolkata Knight Riders,50004,Eden Gardens,20008,Kolkata Knight Riders,50004,field,N,Kolkata Knight Riders,50004,Wickets,6,No,AD Russell,90042,AK Chaudhary,60004,CB Gaffaney,60001
1175356,Chennai,10008,3/23/2019,2019,30012,1,Royal Challengers Bangalore,50010,Chennai Super Kings,50003,MA Chidambaram Stadium,20016,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,7,No,Harbhajan Singh,90203,AY Dandekar,60020,BNJ Oxenford,60003
1136620,Mumbai,10023,5/27/2018,2018,30011,Final,Sunrisers Hyderabad,50006,Chennai Super Kings,50003,Wankhede Stadium,20034,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,8,No,SR Watson,90569,M Erasmus,60015,S Ravi,60019
1136619,Kolkata,10022,5/25/2018,2018,30011,Qualifier,Sunrisers Hyderabad,50006,Kolkata Knight Riders,50004,Eden Gardens,20008,Kolkata Knight Riders,50004,field,N,Sunrisers Hyderabad,50006,Runs,14,No,Rashid Khan,90463,HDPK Dharmasena,60032,Nitin Menon,60005
1136618,Kolkata,10022,5/23/2018,2018,30011,Eliminator,Kolkata Knight Riders,50004,Rajasthan Royals,50001,Eden Gardens,20008,Rajasthan Royals,50001,field,N,Kolkata Knight Riders,50004,Runs,25,No,AD Russell,90042,AK Chaudhary,60004,Nitin Menon,60005
1136617,Mumbai,10023,5/22/2018,2018,30011,Qualifier,Sunrisers Hyderabad,50006,Chennai Super Kings,50003,Wankhede Stadium,20034,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,2,No,F du Plessis,90182,C Shamshuddin,60022,M Erasmus,60015
1136616,Pune,10026,5/20/2018,2018,30011,56,Punjab Kings,50009,Chennai Super Kings,50003,Maharashtra Cricket Association Stadium,20017,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,5,No,L Ngidi,90304,Nitin Menon,60005,YC Barde,60024
1136615,Delhi,10010,5/20/2018,2018,30011,55,Delhi Capitals,50008,Mumbai Indians,50005,Feroz Shah Kotla,20009,Delhi Capitals,50008,bat,N,Delhi Capitals,50008,Runs,11,No,A Mishra,90010,HDPK Dharmasena,60032,CK Nandan,60031
1136614,Hyderabad,10015,5/19/2018,2018,30011,54,Sunrisers Hyderabad,50006,Kolkata Knight Riders,50004,Rajiv Gandhi International Stadium,20024,Sunrisers Hyderabad,50006,bat,N,Kolkata Knight Riders,50004,Wickets,5,No,CA Lynn,90116,AK Chaudhary,60004,S Ravi,60019
1136613,Jaipur,10017,5/19/2018,2018,30011,53,Rajasthan Royals,50001,Royal Challengers Bangalore,50010,Sawai Mansingh Stadium,20026,Rajasthan Royals,50001,bat,N,Rajasthan Royals,50001,Runs,30,No,S Gopal,90503,BNJ Oxenford,60003,VK Sharma,60026
1136612,Delhi,10010,5/18/2018,2018,30011,52,Delhi Capitals,50008,Chennai Super Kings,50003,Feroz Shah Kotla,20009,Chennai Super Kings,50003,field,N,Delhi Capitals,50008,Runs,34,No,HV Patel,90214,HDPK Dharmasena,60032,VA Kulkarni,60027
1136611,Bengaluru,10003,5/17/2018,2018,30011,51,Royal Challengers Bangalore,50010,Sunrisers Hyderabad,50006,M Chinnaswamy Stadium,20015,Sunrisers Hyderabad,50006,field,N,Royal Challengers Bangalore,50010,Runs,14,No,AB de Villiers,90028,AY Dandekar,60020,S Ravi,60019
1136610,Mumbai,10023,5/16/2018,2018,30011,50,Mumbai Indians,50005,Punjab Kings,50009,Wankhede Stadium,20034,Punjab Kings,50009,field,N,Mumbai Indians,50005,Runs,3,No,JJ Bumrah,90245,M Erasmus,60015,Nitin Menon,60005
1136609,Kolkata,10022,5/15/2018,2018,30011,49,Rajasthan Royals,50001,Kolkata Knight Riders,50004,Eden Gardens,20008,Kolkata Knight Riders,50004,field,N,Kolkata Knight Riders,50004,Wickets,6,No,Kuldeep Yadav,90299,AK Chaudhary,60004,HDPK Dharmasena,60032
1136608,Indore,10016,5/14/2018,2018,30011,48,Punjab Kings,50009,Royal Challengers Bangalore,50010,Holkar Cricket Stadium,20012,Royal Challengers Bangalore,50010,field,N,Royal Challengers Bangalore,50010,Wickets,10,No,UT Yadav,90616,BNJ Oxenford,60003,VK Sharma,60026
1136607,Mumbai,10023,5/13/2018,2018,30011,47,Mumbai Indians,50005,Rajasthan Royals,50001,Wankhede Stadium,20034,Rajasthan Royals,50001,field,N,Rajasthan Royals,50001,Wickets,7,No,JC Buttler,90237,Nitin Menon,60005,S Ravi,60019
1136606,Pune,10026,5/13/2018,2018,30011,46,Sunrisers Hyderabad,50006,Chennai Super Kings,50003,Maharashtra Cricket Association Stadium,20017,Chennai Super Kings,50003,field,N,Chennai Super Kings,50003,Wickets,8,No,AT Rayudu,90078,M Erasmus,60015,YC Barde,60024
1136605,Delhi,10010,5/12/2018,2018,30011,45,Delhi Capitals,50008,Royal Challengers Bangalore,50010,Feroz Shah Kotla,20009,Royal Challengers Bangalore,50010,field,N,Royal Challengers Bangalore,50010,Wickets,5,No,AB de Villiers,90028,KN Ananthapadmanabhan,60006,HDPK Dharmasena,60032
1136604,Indore,10016,5/12/2018,2018,30011,44,Kolkata Knight Riders,50004,Punjab Kings,50009,Holkar Cricket Stadium,20012,Punjab Kings,50009,field,N,Kolkata Knight Riders,50004,Runs,31,No,SP Narine,90566,CK Nandan,60031,VK Sharma,60026
